Id,Group,Topic,HTTP Method
1,Introduction,Endpoint,
2,Introduction,Clients,
3,Introduction,Rate limiting,
4,Introduction,Streaming with ND-JSON,
5,Introduction,Authentication,
6,Account,Get my profile,GET
7,Account,Get my email address,GET
8,Account,Get my preferences,GET
9,Account,Get my kid mode status,GET
10,Account,Set my kid mode status,POST
11,Account,Get my timeline,GET
12,Users,Get real-time users status,GET
13,Users,Get all top 10,GET
14,Users,Get one leaderboard,GET
15,Users,Get user public data,GET
16,Users,Get rating history of a user,GET
17,Users,Get performance statistics of a user,GET
18,Users,Get user activity,GET
19,Users,Get users by ID,POST
20,Users,Get live streamers,GET
21,Users,Get crosstable,GET
22,Users,Autocomplete usernames,GET
23,Users,Add a note for a user,POST
24,Users,Get notes for a user,GET
25,Relations,Get users followed by the logged in user,GET
26,Relations,Follow a player,POST
27,Relations,Unfollow a player,POST
28,Relations,Block a player,POST
29,Relations,Unblock a player,POST
30,Games,Export one game,GET
31,Games,Export ongoing game of a user,GET
32,Games,Export games of a user,GET
33,Games,Export games by IDs,POST
34,Games,Stream games of users,POST
35,Games,Stream games by IDs,POST
36,Games,Add game IDs to stream,POST
37,Games,Get my ongoing games,GET
38,Games,Stream moves of a game,GET
39,Games,Import one game,POST
40,Games,Export your imported games,GET
41,Games,Export your bookmarked games,GET
42,TV,Get current TV games,GET
43,TV,Stream current TV game,GET
44,TV,Stream current TV game of a TV channel,GET
45,TV,Get best ongoing games of a TV channel,GET
46,Puzzles,Get the daily puzzle,GET
47,Puzzles,Get a puzzle by its ID,GET
48,Puzzles,Get a new puzzle,GET
49,Puzzles,Get multiple puzzles at once,GET
50,Puzzles,Solve multiple puzzles at once,POST
51,Puzzles,Get your puzzle activity,GET
52,Puzzles,Get puzzles to replay,GET
53,Puzzles,Get your puzzle dashboard,GET
54,Puzzles,Get the storm dashboard of a player,GET
55,Puzzles,Create and join a puzzle race,POST
56,Puzzles,Get puzzle race results,GET
57,Teams,Get team swiss tournaments,GET
58,Teams,Get a single team,GET
59,Teams,Get popular teams,GET
60,Teams,Teams of a player,GET
61,Teams,Search teams,GET
